Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
B162;DrkN;21:41:09.26;+56:19:07.0;Cep;13.0;;;;;;;;;;;;;;;;;;;;;;;
B163;DrkN;21:42:10.10;+56:42:13.3;Cep;;;;;;;;;;;;;;;;;;;;;;;;
B164;DrkN;21:46:31.92;+51:05:38.8;Cyg;20.0;;;;;;;;;;;;;;;;;;;;;;;
B165;DrkN;21:48:56.16;+60:12:55.4;Cep;18.0;;;;;;;;;;;;;;;;;;;;;;;
B166;DrkN;21:51:05.23;+60:05:08.2;Cep;5.0;;;;;;;;;;;;;;;;;;;;;;;
B167;DrkN;21:51:58.25;+60:04:13.1;Cep;5.0;;;;;;;;;;;;;;;;;;;;;;;
B168;DrkN;21:53:20.69;+47:16:18.5;Cyg;10.0;;;;;;;;;;;;;;;;;;;;;;;
B169;DrkN;21:58:52.92;+58:45:52.2;Cep;60.0;;;;;;;;;;;;;;;;;;;;;;;
B170;DrkN;21:58:02.98;+58:57:47.5;Cep;15.0;;;;;;;;;;;;;;;;;;;;;;;
B171;DrkN;22:01:18.84;+58:52:05.5;Cep;91.0;;;;;;;;;;;;;;;;;;;;;;;
B173;DrkN;22:07:28.99;+59:40:38.6;Cep;4.0;;;;;;;;;;;;;;;;;;;;;;;
B174;DrkN;22:07:19.99;+59:04:37.6;Cep;19.0;;;;;;;;;;;;;;;;;;;;;;;
B175;DrkN;22:14:00.96;+69:56:14.6;Cep;60.0;;;;;;;;;;;;;;;;;;;;;;;
B201;DrkN;02:13:00.07;+57:05:20.8;Per;10.0;;;;;;;;;;;;;;;;;;;;;;;
B202;DrkN;03:25:38.74;+30:16:35.0;Ari;22.0;;;;;;;;;;;;;;;;;;;;;;;
B203;DrkN;03:25:50.28;+30:46:33.6;Ari;;;;;;;;;;;;;;;;;;;;;;;;
B204;DrkN;03:28:29.23;+30:11:11.0;Ari;14.0;;;;;;;;;;;;;;;;;;;;;;;
B205;DrkN;03:28:32.04;+31:06:10.8;Ari;15.0;;;;;;;;;;;;;;;;;;;;;;;
B206;DrkN;03:29:09.41;+30:11:05.3;Ari;5.0;;;;;;;;;;;;;;;;;;;;;;;
B207;DrkN;04:04:35.42;+26:20:45.2;Tau;;;;;;;;;;;;;;;;;;;;;;;;
B208;DrkN;04:11:32.93;+25:09:38.5;Tau;;;;;;;;;;;;;;;;;;;;;;;;
B209;DrkN;04:12:23.26;+28:19:31.1;Tau;;;;;;;;;;;;;;;;;;;;;;;;
B210;DrkN;04:15:33.26;+25:03:59.4;Tau;;;;;;;;;;;;;;;;;;;;;;;;
B211;DrkN;04:17:12.43;+27:48:44.3;Tau;;;;;;;;;;;;;;;;;;;;;;;;
B212;DrkN;04:19:14.62;+25:18:23.8;Tau;;;;;;;;;;;;;;;;;;;;;;;;
B213;DrkN;04:21:10.58;+27:03:05.0;Tau;;;;;;;;;;;;;;;;;;;;;;;;
B214;DrkN;04:21:55.73;+28:32:58.2;Tau;5.0;;;;;;;;;;;;;;;;;;;;;;;
B215;DrkN;04:23:34.44;+25:02:40.9;Tau;;;;;;;;;;;;;;;;;;;;;;;;
B216;DrkN;04:23:59.64;+26:37:37.2;Tau;;;;;;;;;;;;;;;;;;;;;;;;
B217;DrkN;04:27:38.52;+26:07:00.8;Tau;;;;;;;;;;;;;;;;;;;;;;;;
B218;DrkN;04:28:09.14;+26:16:55.9;Tau;15.0;;;;;;;;;;;;;;;;;;;;;;;
B219;DrkN;04:34:51.53;+29:35:49.2;Tau;120.0;;;;;;;;;;;;;;;;;;;;;;;
B220;DrkN;04:41:30.02;+25:59:40.9;Tau;7.0;;;;;;;;;;;;;;;;;;;;;;;
B221;DrkN;04:44:00.84;+31:44:16.8;Aur;45.0;;;;;;;;;;;;;;;;;;;;;;;
B222;DrkN;05:08:23.83;+32:10:02.3;Aur;10.0;;;;;;;;;;;;;;;;;;;;;;;
B223;DrkN;05:21:28.06;+08:19:35.8;Ori;8.0;;;;;;;;;;;;;;;;;;;;;;;
B224;DrkN;05:23:54.86;+10:37:10.2;Ori;20.0;;;;;;;;;;;;;;;;;;;;;;;
B225;DrkN;05:28:57.96;+11:36:15.8;Ori;;;;;;;;;;;;;;;;;;;;;;;;
B226;DrkN;05:36:34.61;+33:42:00.4;Aur;17.0;;;;;;;;;;;;;;;;;;;;;;;
B227;DrkN;06:07:23.86;+19:39:19.4;Ori;12.0;;;;;;;;;;;;;;;;;;;;;;;
B228;DrkN;15:44:57.91;-34:30:48.2;Lup;240.0;;;;;;;;;;;;;;;;;;;;;;;
B229;DrkN;16:17:40.90;-27:18:39.6;Sco;45.0;;;;;;;;;;;;;;;;;;;;;;;
B230;DrkN;16:27:09.82;-16:47:03.1;Oph;60.0;;;;;;;;;;;;;;;;;;;;;;;
B231;DrkN;16:38:24.31;-35:25:15.6;Sco;30.0;;;;;;;;;;;;;;;;;;;;;;;
B232;DrkN;16:43:44.45;-39:49:22.8;Sco;10.0;;;;;;;;;;;;;;;;;;;;;;;
B233;DrkN;16:44:45.43;-35:24:10.4;Sco;37.0;;;;;;;;;;;;;;;;;;;;;;;
B234;DrkN;16:46:26.57;-30:28:51.6;Sco;18.0;;;;;;;;;;;;;;;;;;;;;;;
B235;DrkN;16:47:06.38;-44:28:50.2;Sco;7.0;;;;;;;;;;;;;;;;;;;;;;;
B236;DrkN;16:48:54.43;-29:48:25.9;Sco;;;;;;;;;;;;;;;;;;;;;;;;
B237;DrkN;16:48:55.06;-29:58:25.7;Sco;37.0;;;;;;;;;;;;;;;;;;;;;;;
B238;DrkN;16:52:21.82;-23:07:48.0;Oph;13.0;;;;;;;;;;;;;;;;;;;;;;;
B239;DrkN;16:55:00.17;-31:07:23.2;Sco;15.0;;;;;;;;;;;;;;;;;;;;;;;
B240;DrkN;16:59:17.66;-35:21:39.6;Sco;20.0;;;;;;;;;;;;;;;;;;;;;;;
B241;DrkN;16:59:27.24;-30:11:36.2;Oph;12.0;;;;;;;;;;;;;;;;;;;;;;;
B242;DrkN;17:05:06.50;-32:25:37.6;Sco;19.0;;;;;;;;;;;;;;;;;;;;;;;
B243;DrkN;17:09:46.10;-29:34:46.9;Oph;25.0;;;;;;;;;;;;;;;;;;;;;;;
B244;DrkN;17:10:51.89;-28:24:34.9;Oph;25.0;;;;;;;;;;;;;;;;;;;;;;;
B245;DrkN;17:11:55.68;-29:24:24.1;Oph;8.0;;;;;;;;;;;;;;;;;;;;;;;
B246;DrkN;17:12:01.94;-22:39:20.9;Oph;15.0;;;;;;;;;;;;;;;;;;;;;;;
B247;DrkN;17:13:06.98;-30:15:11.5;Sco;4.0;;;;;;;;;;;;;;;;;;;;;;;
B248;DrkN;17:13:04.22;-28:59:11.8;Oph;10.0;;;;;;;;;;;;;;;;;;;;;;;
B249;DrkN;17:13:04.85;-29:09:11.5;Oph;13.0;;;;;;;;;;;;;;;;;;;;;;;
B250;DrkN;17:13:02.06;-28:24:11.9;Oph;15.0;;;;;;;;;;;;;;;;;;;;;;;
B251;DrkN;17:13:48.84;-20:09:01.1;Oph;13.0;;;;;;;;;;;;;;;;;;;;;;;
B252;DrkN;17:15:18.55;-32:08:48.8;Sco;20.0;;;;;;;;;;;;;;;;;;;;;;;
B253;DrkN;17:15:31.87;-22:33:43.6;Oph;60.0;;;;;;;;;;;;;;;;;;;;;;;
B254;DrkN;17:20:29.21;-30:07:52.7;Oph;40.0;;;;;;;;;;;;;;;;;;;;;;;
B255;DrkN;17:20:35.23;-23:27:49.7;Oph;5.0;;;;;;;;;;;;;;;;;;;;;;;
B256;DrkN;17:22:12.41;-28:49:34.0;Oph;50.0;;;;;;;;;;;;;;;;;;;;;;;
B257;DrkN;17:22:46.73;-35:37:30.4;Sco;15.0;;;;;;;;;;;;;;;;;;;;;;;
B258;DrkN;17:22:57.89;-34:43:27.8;Sco;40.0;;;;;;;;;;;;;;;;;;;;;;;
B259;DrkN;17:22:01.54;-19:17:33.0;Oph;30.0;;;;;;;;;;;;;;;;;;;;;;;
B260;DrkN;17:24:48.96;-25:37:04.8;Oph;10.0;;;;;;;;;;;;;;;;;;;;;;;
B261;DrkN;17:25:04.06;-23:02:01.3;Oph;10.0;;;;;;;;;;;;;;;;;;;;;;;
