Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
WR 124-13;WR*;19:13:19.19;+09:55:29.0;;;;;;;15.20;12.87;11.48;;WN6;;;;;;;;;;;;;KSF14 1635-AD8;
WR 124-14;WR*;19:14:40.73;+11:54:15.4;;;;;;;15.22;13.00;11.66;;WN5-6;;;;;;;;;;;;;KSF14 1653-FFE;
WR 124-15;WR*;19:15:37.26;+11:25:26.3;;;;;;;15.82;13.21;11.78;;WN5;;;;;;;;;;;;;KSF14 1651-BB4;
WR 124-16;WR*;19:15:52.52;+11:12:59.7;;;;;;;17.53;15.10;12.56;;WC8:;;;;;;;;;;;;;KSF14 1647-1E70;
WR 124-17;WR*;19:17:22.20;+12:13:09.2;;;;;;;13.44;10.89;9.53;;WN9;;;;;;;;;;;;;KSF14 1659-212;
WR 124-18;WR*;19:18:31.35;+13:43:39.1;;;;;;;12.79;11.04;9.97;;WN9h;;;;;;;;;;;;;DR3 4319406076548902784,KSF14 1669-3DF;
WR 124-19;WR*;19:20:02.47;+12:08:20.2;;;;;;;14.65;13.29;12.08;;WC6:;;;;;;;;;;;;;DR3 4315954572104614400,KSF14 1660-1169;
WR 124-1A;WR*;19:12:24.13;+09:57:28.8;;;;;;;;11.22;9.96;;WC8, WC5-7;;;;;;;;;;;;;DR3 4309265864900247424,MDI09 GLIMPSE20 6,Mc20-10;
WR 124-1B;WR*;19:12:24.01;+09:57:29.3;;;;;;;;11.84;10.66;;WC8, WC5-7;;;;;;;;;;;;;DR3 4309265830540509312,MDI09 GLIMPSE20 6,Mc20-8;
WR 124-2;WR*;19:20:40.39;+13:50:35.1;;;;;;;13.57;11.80;10.76;;WC8, WC7:;;;;;;;;;;;;;DR3 4319423252107433216,SMG09 1671_5,SFZ12 1671-32L;
WR 124-20;WR*;19:25:18.16;+17:02:15.5;;;;;;;12.97;11.18;9.92;;WC9, WC9d;;;;;;;;;;;;;DR3 4322565798082824832,KSF14 1697-38F;
WR 124-21;WR*;19:26:08.35;+17:46:22.9;;;;;20.44;17.29;11.86;10.97;10.21;;WC8;;;;;;;;;;;;;DR3 4322817483169888512,KSF14 1702-23L;
WR 124-22;WR*;19:27:17.98;+16:05:24.5;;;;;;;13.01;11.09;9.64;;WC9, WC9d;;;;;;;;;;;;;DR3 4321618083470555264,KSF14 1695-2B7;
WR 124-3;WR*;19:16:18.38;+12:46:49.3;;;;;;;12.96;11.82;10.77;;WC7, WC8;;;;;;;;;;;;;DR3 4319236236367451264,MDM11 56,SFZ12 1657-51L;
WR 124-4;WR*;19:17:41.21;+11:29:18.9;;;;;;;15.29;13.00;11.53;;WC7;;;;;;;;;;;;;MDM11 57,SFZ12 1652-24L;
WR 124-5;WR*;19:20:29.32;+14:12:06.1;;;;;;;14.34;11.98;10.63;;WC8-9d?;;;;;;;;;;;;;MDM11 58;
WR 124-6;WR*;19:22:53.61;+14:08:49.8;;;;;;;12.67;10.91;9.68;;WC7, WC6;;;;;;;;;;;;;DR3 4319620373924501120,MDM11 59,SFZ12 1675-17L;
WR 124-7;WR*;19:22:54.45;+14:11:27.9;;;;;;;12.83;11.02;9.58;;WC8, WC7;;;;;;;;;;;;;DR3 4319831724985219456,MDM11 60,SFZ12 1675-10L;
WR 124-8;WR*;19:13:24.41;+11:43:27.0;;;;;;;13.12;11.78;10.95;;WN6;;;;;;;;;;;;;DR3 4312879684758932352,SFZ12 1650-96L,2MASS 19132440+1143272;
WR 124-9;WR*;19:17:32.80;+14:08:28.0;;;;;;;13.90;12.72;11.67;;WC6:;;;;;;;;;;;;;DR3 4319502902284779392,SFZ12 1670-57L;
WR 125;WR*;19:28:15.61;+19:33:21.4;;;;;;13.52;9.30;8.74;8.21;;WC7ed+O9III;;;;;;;;;;;;;DR3 4515628288919542784,V378 Vul,IC14-36;
WR 125-1;WR*;19:33:44.01;+19:22:47.4;;;;;16.30;15.47;10.20;9.61;9.07;;WC8, WC8ed;;;;;;;;;;;;;DR3 1825418588978011648,HDM 15;
WR 125-2;WR*;19:30:38.84;+18:39:09.7;;;;;;15.86;8.21;7.28;6.60;;WN8-9;;;;;;;;;;;;;DR3 4323332329499518848,IPHAS J193038.84+183909.8;
WR 125-3;WR*;19:30:13.56;+18:32:02.4;;;;;;16.09;8.65;7.83;7.33;;WN7-8h, WN7ha;;;;;;;;;;;;;DR3 4323329438956658432,Mercer23 2;
WR 125-4;WR*;19:30:05.31;+17:46:01.0;;;;;;;12.71;11.07;9.14;;WN7;;;;;;;;;;;;;DR3 4323004979954775552,MDM11 61;
WR 125-5;WR*;19:31:15.07;+19:04:18.3;;;;;;18.50;;;;;WC7;;;;;;;;;;;;;DR3 4323384384508400256,WR-C-48;
WR 125-6;WR*;19:34:10.42;+19:22:13.9;;;;;;15.77;10.66;10.02;9.58;;WN5-6;;;;;;;;;;;;;DR3 1825407490781545216,WR-C-50;
WR 125-7;WR*;19:38:34.47;+24:03:20.5;;;;;;;13.56;12.66;11.99;;WN5-6;;;;;;;;;;;;;DR3 2021131933611057536,WR-C-51;
WR 126;WR*;19:39:56.19;+26:34:42.4;;;;;;13.29;10.70;10.40;10.09;;WC5/WN;;;;;;;;;;;;;DR3 2022054350800575488,[S66] 2,[KW97] 38-41;
WR 127;WR*;19:46:15.94;+28:16:19.0;;;;;10.56;10.29;9.18;9.02;8.76;;WN3b+O9.5V;;;;;;;;;;;;;HD 186943,DR3 2028294667765054464,He3-1772;
WR 128;WR*;19:48:32.20;+18:12:03.6;;;;;10.49;10.44;9.97;9.84;9.62;;WN4(h);;;;;;;;;;;;;HD 187282,DR3 1821509378448652416,QT Sge;Anon (Chu)
WR 128-1;WR*;19:52:40.81;+23:29:33.9;;;;;;;13.32;12.56;12.01;;WN4-5;;;;;;;;;;;;;DR3 1828324426391283200,WR-C-52;
WR 129;WR*;19:48:18.26;+30:26:52.6;;;;;;13.27;11.08;10.72;10.40;;WN4o;;;;;;;;;;;;;DR3 2032145466709678464,MR 96,[KW97] 39-51;
WR 130;WR*;19:59:12.69;+31:27:08.9;;;;;13.68;12.14;8.45;7.87;7.45;;WN8(h);;;;;;;;;;;;;DR3 2030934212864924032,V2180 Cyg,LSWR 16;
WR 131;WR*;20:00:19.12;+33:15:51.0;;;;;13.05;12.08;9.52;9.15;8.86;;WN7h+abs;;;;;;;;;;;;;DR3 2034210349533480192,MR 97,[KW97] 41-39;L69.8+1.74
WR 132;WR*;20:01:39.73;+32:34:17.9;;;;;13.42;12.67;10.18;9.86;9.05;;WC6+?;;;;;;;;;;;;;HD 190002,DR3 2034096172116995712,[KW97] 41-54;
WR 133;WR*;20:05:57.32;+35:47:18.0;;;;;6.90;6.77;6.32;6.32;6.25;;WN5o+O9I;;;;;;;;;;;;;HD 190918,DR3 2059076148587289728,V1676 Cyg;
WR 134;WR*;20:10:14.19;+36:10:34.9;;;;;8.25;7.99;6.72;6.52;6.16;;WN6b;;;;;;;;;;;;;HD 191765,DR3 2059146654767199872,V1769 Cyg;Anon (Chu)
WR 135;WR*;20:11:53.52;+36:11:50.4;;;;;8.32;8.09;7.23;7.11;6.66;;WC8;;;;;;;;;;;;;HD 192103,DR3 2058985262750809088,V1042 Cyg;
WR 136;WR*;20:12:06.53;+38:21:17.7;;;;;7.65;7.44;6.13;5.90;5.56;;WN6b(h);;;;;;;;;;;;;HD 192163,DR3 2061690233159124352,V1770 Cyg;NGC 6888
WR 137;WR*;20:14:31.76;+36:39:39.5;;;;;8.27;7.92;6.98;6.77;6.18;;WC7pd+O9, WC7ed+O, WC7d+O9e;;;;;;;;;;;;;HD 192641,DR3 2060508777869902592,V1679 Cyg;
WR 138;WR*;20:17:00.02;+37:25:23.7;;;;;8.43;8.06;6.96;6.80;6.58;;WN5o+B?, WN6o+O;;;;;;;;;;;;;HD 193077,DR3 2060661846184974464,He 3-1866;
WR 138-1;WR*;20:17:08.11;+41:07:26.9;;;;;17.25;15.44;10.15;9.27;8.65;;WN8-9h;;;;;;;;;;;;;DR3 2062560122958679936,WR138a,HBHA 4202-22;
WR 139;WR*;20:19:32.42;+38:43:53.9;;;;;8.52;8.00;6.70;6.52;6.33;;WN5o+O6III-V;;;;;;;;;;;;;HD 193576,DR3 2061291595788070656,V444 Cyg;
WR 140;WR*;20:20:27.97;+43:51:16.3;;;;;7.34;6.87;5.55;5.43;5.04;;WC7pd+O4-5, WC7ed+O5;;;;;;;;;;;;;HD 193793,DR3 2081261372633822592,V1687 Cyg;
WR 141;WR*;20:21:31.73;+36:55:12.7;;;;;10.66;9.68;7.34;6.93;6.54;;WN5o+O5V-III;;;;;;;;;;;;;HD 193928,DR3 2057563358004716928,V2183 Cyg;
WR 142;WR*;20:21:44.34;+37:22:30.4;;;;;14.39;12.96;9.54;8.89;8.60;;WO2;;;;;;;;;;;;;DR3 2057966393428544128,Sand 5,[KW97] 45-49;
WR 142-1;WR*;20:28:14.55;+43:39:25.4;;;;;15.70;15.54;8.77;7.86;7.19;;WN6o;;;;;;;;;;;;;DR3 2069091531258827648,WR142b,[KW97] 46-60;
WR 142a;WR*;20:24:06.20;+41:25:33.00;;;;;;18.13;9.27;8.09;7.12;;WC8;;;;;;;;;;;;;DR3 2068434332539101056,PCG02 1,[KW97] 46-21;
WR 143;WR*;20:28:22.66;+38:37:18.9;;;;;12.67;11.46;8.58;8.10;7.46;;WC4+OB?;;;;;;;;;;;;;HD 195177,DR3 2064136925704910080,[KW97] 47-1;
WR 144;WR*;20:32:03.02;+41:15:20.4;;;;;;15.49;9.41;8.59;7.71;;WC4;;;;;;;;;;;;;DR3 2067824545964503168,HM19-1,HBHA 4203-49;
WR 145;WR*;20:32:06.27;+40:48:29.5;;;;;;12.30;7.37;6.71;6.24;;WN7o/CE+?;;;;;;;;;;;;;DR3 2067745076187793024,AS 422,V1923 Cyg;
WR 145a;WR*;20:32:26.60;+40:57:09.00;;;;;;23.90;15.31;13.19;11.92;;WNE+cc;;;;;;;;;;;;;Cyg X-3;
WR 146;WR*;20:35:47.08;+41:22:44.6;;;;;;13.91;7.07;6.24;5.49;;WC4, WC5, WC6+O8;;;;;;;;;;;;;DR3 2067867358199590400,HM19-3,MR 112;
WR 147;WR*;20:36:43.63;+40:21:07.4;;;;;;14.89;6.01;4.86;4.11;;WN8(h)+B0.5V;;;;;;;;;;;;;DR3 2064671253991921408,NS 6,AS 431;
WR 147-1;WR*;20:38:22.92;+42:28:03.4;;;;;;;12.03;10.51;9.56;;WN4;;;;;;;;;;;;;DR3 2069445505277962624,2MASS J20382292+4228034;
WR 148;WR*;20:41:21.54;+52:35:15.1;;;;;10.77;10.21;8.76;8.53;8.32;;WN8h+;;;;;;;;;;;;;HD 197406,DR3 2182307453299864064,AS 438;
WR 148-1;WR*;20:43:36.48;+44:55:05.2;;;;;11.78;10.88;8.14;7.71;7.46;;WN6+O6.5V, WN6+abs, WN4+O7III?(f);;;;;;;;;;;;;DR3 2070186369963278080,[KW97] 49-4,LS III +44 21;
WR 148-2;WR*;20:57:40.95;+46:59:45.0;;;;;;17.40;12.26;11.57;10.99;;WN3;;;;;;;;;;;;;DR3 2163819130932894464,WR-C-55;
WR 148-3;WR*;21:05:28.26;+51:36:00.8;;;;;;;12.91;11.84;11.06;;WN4b;;;;;;;;;;;;;DR3 2169491477039398144,WR-C-56;
WR 149;WR*;21:07:11.69;+48:25:36.2;;;;;;14.70;10.62;10.06;9.61;;WN5o;;;;;;;;;;;;;DR3 2165537770680635904,[S66] 4,HBHA 4703-52;
WR 149-1;WR*;21:19:47.42;+53:22:25.0;;;;;;18.65;12.08;11.16;10.56;;WN/C;;;;;;;;;;;;;DR3 2175877200059926784,WR-C-57;
WR 149-2;WR*;21:27:21.23;+52:32:05.1;;;;;;18.35;11.74;10.95;10.02;;WC5;;;;;;;;;;;;;DR3 2172742767287991296,WR-C-58;
WR 150;WR*;21:50:05.57;+50:42:24.7;;;;;;13.47;10.72;10.31;9.60;;WC5;;;;;;;;;;;;;DR3 1980522738604744704,[S66] 5,HBHA 5204-07;
WR 151;WR*;22:09:33.44;+57:44:30.5;;;;;12.91;12.12;9.76;9.36;9.01;;WN4o+O5V;;;;;;;;;;;;;DR3 2198726735325037440,CX Cep,HBHA 5704-45;
WR 151-1;WR*;22:09:50.11;+60:22:33.7;;;;;;16.02;13.15;12.72;12.46;;WN3;;;;;;;;;;;;;DR3 2203006756130126336,WR-C-59;
