Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
LDN 130;DrkN;17:45:03.70;-24:11:12.1;Sgr;32.6;;;;;;;;;;;;;;;;;;;;;;;
LDN 131;DrkN;17:24:59.35;-21:12:38.9;Oph;36.1;;;;;;;;;;;;;;;;;;;;;;;
LDN 132;DrkN;16:54:52.39;-16:14:47.0;Oph;13.7;;;;;;;;;;;;;;;;;;;;;;;
LDN 133;DrkN;17:59:06.38;-26:00:10.8;Sgr;20.5;;;;;;;;;;;;;;;;;;;;;;;
LDN 134;DrkN;15:53:38.33;-04:38:49.9;Lib;28.1;;;;;;;;;;;;;;;;;;;;;;;
LDN 135;DrkN;18:02:06.86;-26:19:57.7;Sgr;5.4;;;;;;;;;;;;;;;;;;;;;;;
LDN 136;DrkN;17:29:00.10;-21:42:21.6;Oph;23.3;;;;;;;;;;;;;;;;;;;;;;;
LDN 137;DrkN;16:50:51.29;-15:25:03.7;Oph;56.8;;;;;;;;;;;;;;;;;;;;;;;
LDN 138;DrkN;17:23:58.90;-20:52:43.3;Oph;60.9;;;;;;;;;;;;;;;;;;;;;;;
LDN 139;DrkN;17:16:45.24;-19:43:14.2;Oph;20.3;;;;;;;;;;;;;;;;;;;;;;;
LDN 140;DrkN;17:53:04.92;-25:00:37.1;Sgr;60.3;;;;;;;;;;;;;;;;;;;;;;;
LDN 141;DrkN;16:50:51.10;-15:15:03.6;Oph;16.6;;;;;;;;;;;;;;;;;;;;;;;
LDN 142;DrkN;17:43:02.76;-23:31:20.6;Oph;73.0;;;;;;;;;;;;;;;;;;;;;;;
LDN 143;DrkN;18:10:07.80;-26:59:22.6;Sgr;42.4;;;;;;;;;;;;;;;;;;;;;;;
LDN 144;DrkN;17:40:32.04;-23:01:31.8;Oph;10.2;;;;;;;;;;;;;;;;;;;;;;;
LDN 145;DrkN;16:35:17.23;-12:16:07.7;Oph;22.8;;;;;;;;;;;;;;;;;;;;;;;
LDN 146;DrkN;16:56:22.13;-15:59:40.6;Oph;15.4;;;;;;;;;;;;;;;;;;;;;;;
LDN 147;DrkN;18:04:06.60;-26:09:49.0;Sgr;13.0;;;;;;;;;;;;;;;;;;;;;;;
LDN 148;DrkN;16:46:25.70;-14:10:22.1;Oph;6.6;;;;;;;;;;;;;;;;;;;;;;;
LDN 149;DrkN;17:26:58.94;-20:52:30.4;Oph;43.2;;;;;;;;;;;;;;;;;;;;;;;
LDN 150;DrkN;17:57:04.94;-25:00:19.4;Sgr;220.9;;;;;;;;;;;;;;;;;;;;;;;
LDN 151;DrkN;18:06:06.60;-26:09:40.0;Sgr;37.9;;;;;;;;;;;;;;;;;;;;;;;
LDN 152;DrkN;16:49:50.28;-14:35:07.8;Oph;61.2;;;;;;;;;;;;;;;;;;;;;;;
LDN 153;DrkN;17:40:01.46;-22:36:33.8;Oph;42.9;;;;;;;;;;;;;;;;;;;;;;;
LDN 154;DrkN;17:42:01.82;-22:51:25.2;Oph;42.3;;;;;;;;;;;;;;;;;;;;;;;
LDN 155;DrkN;17:38:01.01;-22:16:42.6;Oph;76.1;;;;;;;;;;;;;;;;;;;;;;;
LDN 156;DrkN;16:37:17.28;-12:15:59.4;Oph;21.4;;;;;;;;;;;;;;;;;;;;;;;
LDN 157;DrkN;18:09:06.96;-26:24:27.0;Sgr;5.4;;;;;;;;;;;;;;;;;;;;;;;
LDN 158;DrkN;16:47:49.66;-14:05:16.1;Oph;14.2;;;;;;;;;;;;;;;;;;;;;;;
LDN 159;DrkN;17:48:33.02;-23:40:56.6;Sgr;16.0;;;;;;;;;;;;;;;;;;;;;;;
LDN 160;DrkN;17:45:02.33;-23:11:12.1;Sgr;13.9;;;;;;;;;;;;;;;;;;;;;;;
