Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
vdB 49;RfN;05:39:11.15;+04:07:17.3;Ori;;;;;4.50;;;;;;;;;;;;;;;;;;BD+04 1002,HD 37490;
vdB 50;RfN;05:40:13.54;-01:27:45.2;Ori;;;;;7.67;;;;;;;;;;;;;;;;;;BD-01 1001,HD 37674;
vdB 51;RfN;05:40:56.37;-01:30:25.9;Ori;;;;;6.98;;;;;;;;;;;;;;;;;;BD-01 1005,HD 37776;
vdB 52;RfN;05:41:38.39;-02:15:32.5;Ori;;;;;7.82;;;;;;;;;;;;;;;;;;BD-02 1345,HD 37903;
vdB 53;RfN;05:41:25.90;-10:18:42.0;Ori;;;;;9.50;;;;;;;;;;;;;;;;;;BD-10 1261;
vdB 54;RfN;05:41:48.00;-06:15:00.0;Ori;;;;;9.50;;;;;;;;;;;;;;;;;;BD-06 1287;
vdB 55;RfN;05:42:21.30;-08:08:00.2;Ori;;;;;8.70;;;;;;;;;;;;;;;;;;BD-08 1199,HD 38023;
vdB 56;RfN;05:43:43.35;+16:21:30.6;Tau;;;;;9.00;;;;;;;;;;;;;;;;;;BD+16  852,HD 38065;
vdB 57;RfN;05:43:00.58;-02:18:45.4;Ori;;;;;8.30;;;;;;;;;;;;;;;;;;BD-02 1350,HD 38087;
vdB 58;RfN;05:44:26.77;-08:42:38.0;Ori;;;;;9.50;;;;;;;;;;;;;;;;;;BD-08 1208;
vdB 59;RfN;05:46:44.66;+00:05:22.8;Ori;;;;;10.49;;;;;;;;;;;;;;;;;;BD+00 1177,HD 38563;
vdB 60;RfN;05:47:07.91;+00:17:56.2;Ori;;;;;9.50;;;;;;;;;;;;;;;;;;BD+00 1181,HD 290861;
vdB 61;RfN;05:52:37.14;+05:09:52.5;Ori;;;;;8.60;;;;;;;;;;;;;;;;;;BD+05 1035,HD 39398;
vdB 62;RfN;05:54:02.99;+01:40:21.8;Ori;;;;;9.50;;;;;;;;;;;;;;;;;;BD+01 1156,HD 288313;
vdB 63;RfN;05:56:17.50;+01:51:53.0;Ori;;;;;9.20;;;;;;;;;;;;;;;;;;BD+01 1163,HD 288309;
vdB 64;RfN;05:57:54.09;-14:03:40.1;Lep;;;;;10.00;;;;;;;;;;;;;;;;;;BD-14 1294;
vdB 65;RfN;06:04:30.00;+30:31:00.0;Aur;;;;;9.50;;;;;;;;;;;;;;;;;;BD+30 1096;
vdB 66;RfN;06:03:05.35;-09:42:59.6;Mon;;;;;9.30;;;;;;;;;;;;;;;;;;BD-09 1310;
vdB 67;RfN;06:07:31.84;-06:23:57.7;Mon;;;;;9.50;;;;;;;;;;;;;;;;;;BD-06 1415;
vdB 68;RfN;06:08:03.85;-06:13:37.5;Mon;;;;;9.00;;;;;;;;;;;;;;;;;;BD-06 1417,HD 42004;
vdB 69;RfN;06:08:05.18;-06:21:40.5;Mon;;;;;9.00;;;;;;;;;;;;;;;;;;BD-06 1418;
vdB 70;RfN;06:08:26.28;-05:20:22.5;Mon;;;;;8.50;;;;;;;;;;;;;;;;;;BD-05 1515,HD 42050;
vdB 71;RfN;06:10:01.66;+14:04:30.6;Ori;;;;;9.00;;;;;;;;;;;;;;;;;;BD+14 1171,HD 252680;
vdB 72;RfN;06:09:31.25;-06:19:32.8;Mon;;;;;9.00;;;;;;;;;;;;;;;;;;BD-06 1431,HD 42261;
vdB 73;RfN;06:11:06.15;-06:12:38.8;Mon;;;;;;;;;;;;;;;;;;;;;;;BD-06 1440;
vdB 74;RfN;06:11:48.80;-06:09:27.7;Mon;;;;;9.70;;;;;;;;;;;;;;;;;;BD-06 1444;
vdB 75;RfN;06:19:22.52;+23:16:28.2;Gem;;;;;7.50;;;;;;;;;;;;;;;;;;BD+23 1301,HD 43836;
vdB 76;RfN;06:30:47.06;+10:03:46.4;Mon;;;;;9.30;;;;;;;;;;;;;;;;;;BD+10 1158,HD 258686;
vdB 77;RfN;06:30:57.91;+09:48:34.6;Mon;;;;;9.50;;;;;;;;;;;;;;;;;;BD+09 1266,HD 258749;
vdB 78;RfN;06:31:14.87;+09:47:25.0;Mon;;;;;8.80;;;;;;;;;;;;;;;;;;BD+09 1269,HD 258853;
vdB 79;RfN;06:31:43.32;+10:20:20.9;Mon;;;;;9.40;;;;;;;;;;;;;;;;;;BD+10 1163,HD 258973;
vdB 80;RfN;06:30:49.81;-09:39:14.8;Mon;;;;;8.60;;;;;;;;;;;;;;;;;;BD-09 1498,HD 46060;
vdB 81;RfN;06:32:54.23;+07:19:58.7;Mon;;;;;4.48;;;;;;;;;;;;;;;;;;BD+07 1337,HD 46300;
vdB 82;RfN;06:33:05.19;+10:19:20.0;Mon;;;;;8.74;;;;;;;;;;;;;;;;;;BD+10 1172,HD 259431;
vdB 83;RfN;06:39:42.00;-27:15:00.0;CMa;;;;;9.50;;;;;;;;;;;;;;;;;;CD-27 3174;
vdB 84;RfN;06:40:04.77;-27:23:53.6;CMa;;;;;;;;;;;;;;;;;;;;;;;CP-27 1408;
vdB 85;RfN;06:46:51.64;+01:18:56.9;Mon;;;;;9.30;;;;;;;;;;;;;;;;;;BD+01 1503,HD 289120;
vdB 86;RfN;06:57:07.93;-10:16:47.5;Mon;;;;;8.20;;;;;;;;;;;;;;;;;;BD-10 1773,HD 51479;
vdB 87;RfN;07:00:28.61;-08:51:57.7;Mon;;;;;8.80;;;;;;;;;;;;;;;;;;BD-08 1664,HD 52329;
vdB 88;RfN;07:01:49.51;-11:18:03.3;CMa;;;;;7.20;;;;;;;;;;;;;;;;;;BD-11 1747,HD 52721;
vdB 89;RfN;07:02:38.64;-12:14:01.6;CMa;;;;;9.50;;;;;;;;;;;;;;;;;;BD-12 1748;
vdB 90;RfN;07:02:42.61;-11:27:11.6;CMa;;;;;8.70;;;;;;;;;;;;;;;;;;BD-11 1755,HD 52942;
vdB 91;RfN;07:03:24.56;-10:42:16.3;Mon;;;;;9.40;;;;;;;;;;;;;;;;;;BD-10 1839;
vdB 92;RfN;07:03:54.86;-11:34:34.1;CMa;;;;;9.20;;;;;;;;;;;;;;;;;;BD-11 1763;
vdB 93;RfN;07:04:25.52;-10:27:15.6;Mon;;;;;6.97;;;;;;;;;;;;;;;;;;BD-10 1848,HD 53367;
vdB 94;RfN;07:05:16.75;-12:19:34.5;CMa;;;;;8.50;;;;;;;;;;;;;;;;;;BD-12 1771,HD 53623;
vdB 95;RfN;07:06:40.77;-11:17:38.4;CMa;;;;;5.38;;;;;;;;;;;;;;;;;;BD-11 1790,HD 53974;
vdB 96;RfN;07:19:37.49;-24:01:27.7;CMa;;;;;9.20;;;;;;;;;;;;;;;;;;CD-23 5277,HD 57281;
vdB 97;RfN;07:32:30.00;-16:54:-0.0;Pup;;;;;9.90;;;;;;;;;;;;;;;;;;BD-16 2003;
